exp_name,ts,split,n_samples,loss_fn,accuracy,precision,recall,f1,class_0_accuracy,class_0_f1,class_0_pred_count,class_1_accuracy,class_1_f1,class_1_pred_count,class_2_accuracy,class_2_f1,class_2_pred_count,class_3_accuracy,class_3_f1,class_3_pred_count,class_4_accuracy,class_4_f1,class_4_pred_count
klue_roberta,20250505_101042,val,1138,cross_entropy,0.9340949033391915,0.9243656416535213,0.9252512300550434,0.9246752320024239,0.9050279329608939,0.8975069252077562,182,0.9183673469387755,0.9022556390977443,203,0.9489795918367347,0.9538461538461539,194,0.8538812785388128,0.8697674418604651,211,1.0,1.0,348
klue_roberta,20250505_101042,submission,500,cross_entropy,,,,,,,106,,,122,,,122,,,144,,,6
